Key,Value
Alabama,Alabama
Albany,Albany
Arizona - Tucson,Arizona - Tucson
Arizona - Phoenix,Arizona - Phoenix
Aransas,Aransas
Baylor,Baylor
Boston,Boston
BU,Boston
Brown,Brown
Buffalo,Buffalo
CUNY,City University of New York
City University of New York,City University of New York
California University of Science and Medicine,California University of Science and Medicine
California Northstate,California Northstate
Caribe,Caribe
Carle Illinois,Carle Illinois
Case Western,Case Western
Cleveland Clinic Lerner,Cleveland Clinic Lerner
Central Michigan,Central Michigan
Rosalind Franklin,Rosalind Franklin
Chicago,Chicago
Cincinnati,Cincinnati
Colorado,Colorado
Columbia,Columbia
Vagelos,Columbia
Connecticut,Connecticut
Cooper Rowan,Cooper Rowan
Cornell,Cornell
Tri-I,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Geisel,Dartmouth
Drexel,Drexel
Duke,Duke
East Carolina,East Carolina
East Tennessee,East Tennessee
Eastern Virginia,Eastern Virginia
Albert Einstein,Albert Einstein
Emory,Emory
Florida International,Florida International
Florida,Florida
Florida Atlantic,Florida Atlantic
Florida State,Florida State
Geisinger Commonwealth,Geisinger Commonwealth
George Washington,George Washington
Georgetown,Georgetown
Hackensack Meridian,Hackensack Meridian
Harvard,Harvard
Hawaii,Hawaii
Houston,Houston
Howard,Howard
Illinois,Illinois
UIC,Illinois
Indiana,Indiana
Iowa,Iowa
Carver,Iowa
Jefferson,Jefferson
Sidney Kimmel,Jefferson
Johns Hopkins,Johns Hopkins
Kaiser Permanente,Kaiser Permanente
Kansas,Kansas
Kentucky,Kentucky
LSU - New Orleans,LSU - New Orleans
LSU - Shreveport,LSU - Shreveport
Loma Linda,Loma Linda
Louisville,Louisville
Loyola,Loyola
Medical College of Georgia,Medical College of Georgia
MC Georgia,Medical College of Georgia
Augusta,Medical College of Georgia
Medical College of Wisconsin,Medical College of Wisconsin
MC Wisconsin,Medical College of Wisconsin
Medical University of South Carolina,Medical University of South Carolina
Marshall,Marshall
Maryland,Maryland
Massachussetts,Massachussetts
Mayo,Mayo
Meharry,Meharry
Mercer,Mercer
Miami,Miami
Michigan,Michigan
Michigan State,Michigan State
Minnesota,Minnesota
Mississippi,Mississippi
Missouri - Columbia,Missouri - Columbia
Missouri - Kansas City,Missouri - Kansas City
Morehouse,Morehouse
Mount Sinai,Mount Sinai
New York University - Long Island,New York University - Long Island
New York University - Grossman,New York University - Grossman
Nebraska,Nebraska
Nevada Reno,Nevada Reno
New Mexico,New Mexico
New York Medical College,New York Medical College
North Carolina,North Carolina
North Dakota,North Dakota
Northeast Ohio,Northeast Ohio
Northwestern,Northwestern
Nova Southeastern,Nova Southeastern
Oakland,Oakland
Ohio State,Ohio State
Oklahoma,Oklahoma
Oregon Health and Science,Oregon Health and Science
Penn State,Penn State
Pennsylvania,Pennsylvania
Pittsburgh,Pittsburgh
Ponce Health Sciences,Ponce Health Sciences
University of Puerto Rico,University of Puerto Rico
Quinnipiac,Quinnipiac
Stony Brook,Stony Brook
Rochester,Rochester
Rush,Rush
